date,open,high,low,close,volume,tic,day
2021-08-10,177.5,183.0,177.5,182.0,14391095,ADVANC,1
2021-08-10,0.319209,0.357901,0.319209,0.338555,106887039,AJA,1
2021-08-10,57.75,58.25,57.25,57.75,17825408,AOT,1
2021-08-10,11.627880000000001,11.627880000000001,11.3751,11.45936,44339578,BANPU,1
2021-08-10,104.5,105.0,102.5,103.0,8395071,BBL,1
2021-08-10,23.0,23.4,22.8,23.1,2963532,BCP,1
2021-08-10,22.4,22.7,22.4,22.5,17059707,BDMS,1
2021-08-10,42.25,43.0,42.25,42.75,11579068,BGRIM,1
2021-08-10,8.5,8.65,8.45,8.55,30657968,BTS,1
2021-08-10,57.75,58.75,57.5,58.0,11799008,CPALL,1
2021-08-10,26.75,26.75,26.25,26.75,62912761,CPF,1
2021-08-10,59.2,59.400000000000006,57.6,57.800000000000004,1401179,DELTA,1
2021-08-10,59.5,60.25,58.75,59.0,10146373,EA,1
2021-08-10,80.25,80.75,78.75,79.25,16573278,GPSC,1
2021-08-10,38.5,39.5,37.5,37.75,95017422,GULF,1
2021-08-10,12.6,13.1,12.6,12.8,32890578,HMPRO,1
2021-08-10,64.75,66.25,64.75,66.0,40757243,INTUCH,1
2021-08-10,40.0,41.25,39.75,41.0,34404814,IVL,1
2021-08-10,42.739375,43.227825,42.250925,42.49515,1811235,JMT,1
2021-08-10,108.0,108.5,106.5,107.0,19056606,KBANK,1
2021-08-10,53.0,53.25,52.25,52.5,1400191,KKP,1
2021-08-10,10.6,10.7,10.4,10.4,20998698,KTB,1
2021-08-10,61.25,62.0,60.5,60.5,9074774,KTC,1
2021-08-10,62.0,62.25,59.5,60.0,11704073,MTC,1
2021-08-10,34.75,35.25,34.5,34.75,80605368,PTT,1
2021-08-10,105.5,106.5,105.0,106.5,6721928,PTTEP,1
2021-08-10,31.042619334558,31.2416104841385,30.445645885816504,30.644637035397004,14160383,TIDLOR,1
2021-08-10,89.0,89.25,88.0,88.0,1915656,TISCO,1
2021-08-10,45.0,46.5,45.0,45.25,11206709,TOP,1
2021-08-10,0.99,0.99,0.98,0.99,93318262,TTB,1
2021-08-10,5.615415,5.66341,5.519425,5.615415,21605764,VGI,1
2021-08-11,182.5,186.5,182.0,185.5,22433849,ADVANC,2
2021-08-11,0.338555,0.348228,0.319209,0.32888200000000006,37435918,AJA,2
2021-08-11,58.25,58.5,56.75,56.75,20858246,AOT,2
2021-08-11,11.45936,11.627880000000001,11.3751,11.45936,88179277,BANPU,2
2021-08-11,103.0,103.5,101.5,102.0,8796891,BBL,2
2021-08-11,23.3,23.6,23.0,23.4,3974887,BCP,2
2021-08-11,22.7,22.8,22.4,22.5,29652830,BDMS,2
2021-08-11,43.5,43.5,42.75,43.0,10646868,BGRIM,2
2021-08-11,8.55,8.6,8.45,8.45,35861061,BTS,2
2021-08-11,58.25,58.25,57.0,57.0,20779108,CPALL,2
2021-08-11,26.75,26.75,26.0,26.25,38138928,CPF,2
2021-08-11,58.6,58.800000000000004,57.0,57.2,1135170,DELTA,2
2021-08-11,59.5,59.75,58.5,58.75,9321938,EA,2
2021-08-11,79.75,80.0,78.5,79.0,9740710,GPSC,2
2021-08-11,38.0,39.0,37.25,37.75,68899634,GULF,2
2021-08-11,12.9,12.9,12.6,12.7,24031875,HMPRO,2
2021-08-11,66.25,76.5,66.25,73.0,69758817,INTUCH,2
2021-08-11,41.25,41.25,39.75,39.75,22488371,IVL,2
2021-08-11,42.49515,42.739375,39.808675,40.0529,10713034,JMT,2
2021-08-11,107.0,107.5,104.5,105.0,22095048,KBANK,2
2021-08-11,52.5,52.75,52.25,52.5,1891819,KKP,2
2021-08-11,10.5,10.5,10.3,10.4,19166918,KTB,2
2021-08-11,61.0,61.0,57.75,58.0,17042231,KTC,2
2021-08-11,58.75,59.0,56.75,57.0,26294942,MTC,2
2021-08-11,35.0,35.0,34.25,34.5,81847022,PTT,2
2021-08-11,105.0,105.5,103.5,103.5,7324482,PTTEP,2
2021-08-11,30.445645885816504,30.445645885816504,29.052707838753,29.450690137914002,52845258,TIDLOR,2
2021-08-11,88.5,89.25,88.25,88.75,1909671,TISCO,2
2021-08-11,45.75,45.75,44.5,45.0,9640474,TOP,2
2021-08-11,0.99,1.0,0.97,0.98,146084934,TTB,2
2021-08-11,5.615415,5.615415,5.4234350000000004,5.519425,16690347,VGI,2
2021-08-13,185.5,186.0,182.5,184.5,7593908,ADVANC,4
2021-08-13,0.32888200000000006,0.338555,0.319209,0.319209,16020611,AJA,4
2021-08-13,56.5,56.75,55.5,56.0,29382987,AOT,4
2021-08-13,11.543619999999999,11.543619999999999,11.03806,11.3751,178150305,BANPU,4
2021-08-13,101.0,103.0,101.0,102.5,8211939,BBL,4
2021-08-13,23.3,24.3,23.3,23.9,4944999,BCP,4
2021-08-13,22.7,23.0,22.5,23.0,25847707,BDMS,4
2021-08-13,43.0,43.25,42.25,42.5,7154059,BGRIM,4
2021-08-13,8.45,8.55,8.35,8.45,51362728,BTS,4
2021-08-13,57.0,58.25,57.0,57.5,20978156,CPALL,4
2021-08-13,26.25,26.5,25.75,26.0,25834373,CPF,4
2021-08-13,57.0,57.800000000000004,56.400000000000006,56.400000000000006,681432,DELTA,4
2021-08-13,58.75,59.5,58.25,58.5,4500509,EA,4
2021-08-13,78.75,79.25,77.75,78.5,9415674,GPSC,4
2021-08-13,38.0,38.75,37.5,37.75,55601178,GULF,4
2021-08-13,12.8,12.9,12.6,12.7,6847847,HMPRO,4
2021-08-13,71.0,74.25,70.5,72.75,28379282,INTUCH,4
2021-08-13,39.75,40.5,39.5,39.75,14169251,IVL,4
2021-08-13,40.0529,42.250925,39.808675,41.0298,5909206,JMT,4
2021-08-13,103.0,104.0,102.0,103.5,21317354,KBANK,4
2021-08-13,52.5,52.75,52.0,52.25,812424,KKP,4
2021-08-13,10.2,10.4,10.2,10.3,29012565,KTB,4
2021-08-13,58.0,60.25,57.25,59.25,22402738,KTC,4
2021-08-13,57.25,57.75,55.25,55.5,16299600,MTC,4
2021-08-13,34.75,35.25,34.25,35.0,74501870,PTT,4
2021-08-13,103.5,105.0,103.0,103.0,5114169,PTTEP,4
2021-08-13,29.450690137914002,29.450690137914002,28.8537166891725,29.052707838753,17116771,TIDLOR,4
2021-08-13,88.25,89.0,88.0,88.25,1876769,TISCO,4
2021-08-13,45.0,46.25,45.0,45.5,9575181,TOP,4
2021-08-13,0.97,0.98,0.97,0.98,116626865,TTB,4
2021-08-13,5.47143,5.567419999999999,5.4234350000000004,5.4234350000000004,16073297,VGI,4
2021-08-16,181.0,181.0,178.5,181.0,6058195,ADVANC,0
2021-08-16,0.319209,0.32888200000000006,0.280517,0.299863,65081235,AJA,0
2021-08-16,56.25,57.0,55.5,56.25,25225331,AOT,0
2021-08-16,9.9,10.1,9.65,10.0,349583771,BANPU,0
2021-08-16,102.0,103.0,101.5,103.0,7994021,BBL,0
2021-08-16,23.9,24.5,23.8,24.2,3748517,BCP,0
2021-08-16,23.0,23.1,22.7,23.1,32350756,BDMS,0
2021-08-16,42.75,44.25,42.5,43.75,14862249,BGRIM,0
2021-08-16,8.45,8.5,8.35,8.45,25059106,BTS,0
2021-08-16,57.5,58.25,56.75,58.25,25599050,CPALL,0
2021-08-16,26.0,26.25,25.75,25.75,33393620,CPF,0
2021-08-16,56.400000000000006,57.6,55.0,57.2,863162,DELTA,0
2021-08-16,58.5,59.0,58.0,58.75,7678167,EA,0
